"Area name","Area code","Area type","Specimen date","Daily lab-confirmed cases","Cumulative lab-confirmed cases"
"Islington","E09000019","Upper tier local authority","2020-03-13",6,22
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-13",6,34
"Derbyshire","E10000007","Upper tier local authority","2020-03-13",8,29
"Nottingham","E06000018","Upper tier local authority","2020-03-13",4,14
"Yorkshire and The Humber","E12000003","Region","2020-03-13",12,89
"Bury","E08000002","Upper tier local authority","2020-03-13",3,7
"Central Bedfordshire","E06000056","Upper tier local authority","2020-03-13",3,6
"Dudley","E08000027","Upper tier local authority","2020-03-13",1,9
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-03-13",1,9
"Leicester","E06000016","Upper tier local authority","2020-03-13",1,3
"Liverpool","E08000012","Upper tier local authority","2020-03-13",2,11
"Greenwich","E09000011","Upper tier local authority","2020-03-13",5,19
"Kingston upon Thames","E09000021","Upper tier local authority","2020-03-13",1,5
"Richmond upon Thames","E09000027","Upper tier local authority","2020-03-13",3,7
"Wandsworth","E09000032","Upper tier local authority","2020-03-13",4,42
"East Sussex","E10000011","Upper tier local authority","2020-03-13",1,6
"Hackney","E09000012","Upper tier local authority","2020-03-13",4,23
"West Sussex","E10000032","Upper tier local authority","2020-03-13",3,11
"York","E06000014","Upper tier local authority","2020-03-13",1,4
"Luton","E06000032","Upper tier local authority","2020-03-13",1,3
"London","E12000007","Region","2020-03-13",137,764
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-03-13",2,7
"Wolverhampton","E08000031","Upper tier local authority","2020-03-13",11,29
"Cambridgeshire","E10000003","Upper tier local authority","2020-03-13",4,14
"Rotherham","E08000018","Upper tier local authority","2020-03-13",1,5
"West Midlands","E12000005","Region","2020-03-13",40,188
"Bedford","E06000055","Upper tier local authority","2020-03-13",1,1
"Bristol, City of","E06000023","Upper tier local authority","2020-03-13",3,8
"Hounslow","E09000018","Upper tier local authority","2020-03-13",5,18
"Hampshire","E10000014","Upper tier local authority","2020-03-13",15,67
"Waltham Forest","E09000031","Upper tier local authority","2020-03-13",2,8
"Havering","E09000016","Upper tier local authority","2020-03-13",1,7
"Croydon","E09000008","Upper tier local authority","2020-03-13",5,20
"Manchester","E08000003","Upper tier local authority","2020-03-13",7,15
"Stockport","E08000007","Upper tier local authority","2020-03-13",3,9
"Nottinghamshire","E10000024","Upper tier local authority","2020-03-13",4,23
"Bexley","E09000004","Upper tier local authority","2020-03-13",4,17
"South West","E12000009","Region","2020-03-13",31,138
"Walsall","E08000030","Upper tier local authority","2020-03-13",2,16
"Somerset","E10000027","Upper tier local authority","2020-03-13",3,11
"Portsmouth","E06000044","Upper tier local authority","2020-03-13",1,3
"Devon","E10000008","Upper tier local authority","2020-03-13",6,30
"Hillingdon","E09000017","Upper tier local authority","2020-03-13",3,17
"North Somerset","E06000024","Upper tier local authority","2020-03-13",2,13
"Herefordshire, County of","E06000019","Upper tier local authority","2020-03-13",1,2
"North Tyneside","E08000022","Upper tier local authority","2020-03-13",3,5
"Ealing","E09000009","Upper tier local authority","2020-03-13",3,30
"Wirral","E08000015","Upper tier local authority","2020-03-13",1,6
"Suffolk","E10000029","Upper tier local authority","2020-03-13",1,8
"Bolton","E08000001","Upper tier local authority","2020-03-13",1,7
"Birmingham","E08000025","Upper tier local authority","2020-03-13",14,36
"Staffordshire","E10000028","Upper tier local authority","2020-03-13",6,16
"Lancashire","E10000017","Upper tier local authority","2020-03-13",3,15
"Enfield","E09000010","Upper tier local authority","2020-03-13",4,21
"Medway","E06000035","Upper tier local authority","2020-03-13",3,11
"Cheshire East","E06000049","Upper tier local authority","2020-03-13",2,7
"Essex","E10000012","Upper tier local authority","2020-03-13",11,29
"Northamptonshire","E10000021","Upper tier local authority","2020-03-13",2,17
"Bromley","E09000006","Upper tier local authority","2020-03-13",4,20
"Cumbria","E10000006","Upper tier local authority","2020-03-13",7,25
"East Midlands","E12000004","Region","2020-03-13",22,119
"Trafford","E08000009","Upper tier local authority","2020-03-13",2,12
"Oxfordshire","E10000025","Upper tier local authority","2020-03-13",3,27
"Blackburn with Darwen","E06000008","Upper tier local authority","2020-03-13",1,1
"Hertfordshire","E10000015","Upper tier local authority","2020-03-13",9,43
"North West","E12000002","Region","2020-03-13",41,166
"Rochdale","E08000005","Upper tier local authority","2020-03-13",1,4
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-03-13",3,24
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-13",3,19
"Southampton","E06000045","Upper tier local authority","2020-03-13",2,5
"Merton","E09000024","Upper tier local authority","2020-03-13",7,27
"Lambeth","E09000022","Upper tier local authority","2020-03-13",11,44
"Sheffield","E08000019","Upper tier local authority","2020-03-13",4,24
"Bath and North East Somerset","E06000022","Upper tier local authority","2020-03-13",1,4
"East Midlands","E12000004","Region","2020-03-14",19,138
"Hackney","E09000012","Upper tier local authority","2020-03-14",5,28
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-14",3,55
"Haringey","E09000014","Upper tier local authority","2020-03-14",1,28
"Blackpool","E06000009","Upper tier local authority","2020-03-14",1,3
"North East","E12000001","Region","2020-03-14",6,29
"Birmingham","E08000025","Upper tier local authority","2020-03-14",7,43
"Southwark","E09000028","Upper tier local authority","2020-03-14",10,63
"Staffordshire","E10000028","Upper tier local authority","2020-03-14",4,20
"Leicestershire","E10000018","Upper tier local authority","2020-03-14",1,16
"Halton","E06000006","Upper tier local authority","2020-03-14",1,4
"Northamptonshire","E10000021","Upper tier local authority","2020-03-14",2,19
"Surrey","E10000030","Upper tier local authority","2020-03-14",9,51
"Worcestershire","E10000034","Upper tier local authority","2020-03-14",1,15
"Merton","E09000024","Upper tier local authority","2020-03-14",6,33
"Slough","E06000039","Upper tier local authority","2020-03-14",2,21
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-03-14",1,10
"Nottinghamshire","E10000024","Upper tier local authority","2020-03-14",8,31
"Liverpool","E08000012","Upper tier local authority","2020-03-14",2,13
"Sheffield","E08000019","Upper tier local authority","2020-03-14",6,30
"Yorkshire and The Humber","E12000003","Region","2020-03-14",12,101
"Somerset","E10000027","Upper tier local authority","2020-03-14",2,13
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-14",3,37
"Dudley","E08000027","Upper tier local authority","2020-03-14",2,11
"West Midlands","E12000005","Region","2020-03-14",31,219
"Warwickshire","E10000031","Upper tier local authority","2020-03-14",1,21
"Middlesbrough","E06000002","Upper tier local authority","2020-03-14",1,1
"West Berkshire","E06000037","Upper tier local authority","2020-03-14",1,4
"Newham","E09000025","Upper tier local authority","2020-03-14",4,14
"Essex","E10000012","Upper tier local authority","2020-03-14",4,33
"Cumbria","E10000006","Upper tier local authority","2020-03-14",6,31
"Greenwich","E09000011","Upper tier local authority","2020-03-14",2,21
"Wandsworth","E09000032","Upper tier local authority","2020-03-14",11,53
"Tameside","E08000008","Upper tier local authority","2020-03-14",2,11
"Lewisham","E09000023","Upper tier local authority","2020-03-14",2,23
"Dorset","E06000059","Upper tier local authority","2020-03-14",2,7
"Herefordshire, County of","E06000019","Upper tier local authority","2020-03-14",1,3
"Enfield","E09000010","Upper tier local authority","2020-03-14",7,28
"Cheshire East","E06000049","Upper tier local authority","2020-03-14",3,10
"Nottingham","E06000018","Upper tier local authority","2020-03-14",1,15
"England","E92000001","Country","2020-03-14",315,2280
"West Sussex","E10000032","Upper tier local authority","2020-03-14",6,17
"Trafford","E08000009","Upper tier local authority","2020-03-14",1,13
"North Yorkshire","E10000023","Upper tier local authority","2020-03-14",1,11
"Devon","E10000008","Upper tier local authority","2020-03-14",2,32
"Hampshire","E10000014","Upper tier local authority","2020-03-14",5,72
"Derbyshire","E10000007","Upper tier local authority","2020-03-14",6,35
"Bradford","E08000032","Upper tier local authority","2020-03-14",2,7
"Bexley","E09000004","Upper tier local authority","2020-03-14",3,20
"Suffolk","E10000029","Upper tier local authority","2020-03-14",2,10
"Windsor and Maidenhead","E06000040","Upper tier local authority","2020-03-14",3,14
"Bristol, City of","E06000023","Upper tier local authority","2020-03-14",2,10
"Derby","E06000015","Upper tier local authority","2020-03-14",1,7
"Peterborough","E06000031","Upper tier local authority","2020-03-14",2,2
"Harrow","E09000015","Upper tier local authority","2020-03-14",9,33
"Westminster","E09000033","Upper tier local authority","2020-03-14",10,70
"Milton Keynes","E06000042","Upper tier local authority","2020-03-14",1,5
"East of England","E12000006","Region","2020-03-14",15,133
"Sandwell","E08000028","Upper tier local authority","2020-03-14",3,11
"Wolverhampton","E08000031","Upper tier local authority","2020-03-14",8,37
"Portsmouth","E06000044","Upper tier local authority","2020-03-14",3,6
"Kingston upon Thames","E09000021","Upper tier local authority","2020-03-14",3,8
"Walsall","E08000030","Upper tier local authority","2020-03-14",2,18
"Thurrock","E06000034","Upper tier local authority","2020-03-14",1,3
"Hertfordshire","E10000015","Upper tier local authority","2020-03-14",4,47
"Oldham","E08000004","Upper tier local authority","2020-03-14",1,10
"Redbridge","E09000026","Upper tier local authority","2020-03-14",3,8
"Stockport","E08000007","Upper tier local authority","2020-03-14",3,12
"Norfolk","E10000020","Upper tier local authority","2020-03-14",1,10
"North Somerset","E06000024","Upper tier local authority","2020-03-14",2,15
"North Tyneside","E08000022","Upper tier local authority","2020-03-14",1,6
"County Durham","E06000047","Upper tier local authority","2020-03-14",1,2
"Stockton-on-Tees","E06000004","Upper tier local authority","2020-03-14",1,5
"London","E12000007","Region","2020-03-14",148,912
"Sefton","E08000014","Upper tier local authority","2020-03-14",2,5
"Wirral","E08000015","Upper tier local authority","2020-03-14",2,8
"Barnsley","E08000016","Upper tier local authority","2020-03-14",2,6
"Wigan","E08000010","Upper tier local authority","2020-03-14",1,6
"Sutton","E09000029","Upper tier local authority","2020-03-14",2,14
"Southend-on-Sea","E06000033","Upper tier local authority","2020-03-14",1,4
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-03-14",1,9
"Croydon","E09000008","Upper tier local authority","2020-03-14",14,34
"Hillingdon","E09000017","Upper tier local authority","2020-03-14",1,18
"Havering","E09000016","Upper tier local authority","2020-03-14",2,9
"Islington","E09000019","Upper tier local authority","2020-03-14",5,27
"Waltham Forest","E09000031","Upper tier local authority","2020-03-14",3,11
"North West","E12000002","Region","2020-03-14",25,191
"Bromley","E09000006","Upper tier local authority","2020-03-14",6,26
"Stoke-on-Trent","E06000021","Upper tier local authority","2020-03-14",1,3
"Reading","E06000038","Upper tier local authority","2020-03-14",3,6
"Ealing","E09000009","Upper tier local authority","2020-03-14",2,32
"Brent","E09000005","Upper tier local authority","2020-03-14",7,40
"Kent","E10000016","Upper tier local authority","2020-03-14",5,34
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-14",3,22
"Lambeth","E09000022","Upper tier local authority","2020-03-14",10,54
"Barking and Dagenham","E09000002","Upper tier local authority","2020-03-14",1,10
"Barnet","E09000003","Upper tier local authority","2020-03-14",6,44
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-03-14",2,26
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-03-14",2,9
"Camden","E09000007","Upper tier local authority","2020-03-14",1,30
"South West","E12000009","Region","2020-03-14",12,150
"Hounslow","E09000018","Upper tier local authority","2020-03-14",4,22
"South East","E12000008","Region","2020-03-14",41,339
"Telford and Wrekin","E06000020","Upper tier local authority","2020-03-14",1,7
"York","E06000014","Upper tier local authority","2020-03-14",1,5
"Dudley","E08000027","Upper tier local authority","2020-03-15",4,15
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-03-15",3,29
"Bromley","E09000006","Upper tier local authority","2020-03-15",8,34
"Suffolk","E10000029","Upper tier local authority","2020-03-15",6,16
"North Somerset","E06000024","Upper tier local authority","2020-03-15",1,16
"County Durham","E06000047","Upper tier local authority","2020-03-15",1,3
"Bristol, City of","E06000023","Upper tier local authority","2020-03-15",1,11
"Sunderland","E08000024","Upper tier local authority","2020-03-15",2,3
"Hampshire","E10000014","Upper tier local authority","2020-03-15",11,83
"Slough","E06000039","Upper tier local authority","2020-03-15",4,25
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-15",2,39
"Somerset","E10000027","Upper tier local authority","2020-03-15",1,14
"Brighton and Hove","E06000043","Upper tier local authority","2020-03-15",2,10
"Surrey","E10000030","Upper tier local authority","2020-03-15",9,60
"Haringey","E09000014","Upper tier local authority","2020-03-15",4,32
"Brent","E09000005","Upper tier local authority","2020-03-15",8,48
"Plymouth","E06000026","Upper tier local authority","2020-03-15",3,6
"Norfolk","E10000020","Upper tier local authority","2020-03-15",1,11
"Swindon","E06000030","Upper tier local authority","2020-03-15",1,5
"Harrow","E09000015","Upper tier local authority","2020-03-15",6,39
"Worcestershire","E10000034","Upper tier local authority","2020-03-15",4,19
"Tameside","E08000008","Upper tier local authority","2020-03-15",3,14
"Newham","E09000025","Upper tier local authority","2020-03-15",7,21
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-03-15",1,11
"Bracknell Forest","E06000036","Upper tier local authority","2020-03-15",1,4
"Hackney","E09000012","Upper tier local authority","2020-03-15",2,30
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-03-15",4,13
"Havering","E09000016","Upper tier local authority","2020-03-15",4,13
"Croydon","E09000008","Upper tier local authority","2020-03-15",6,40
"Portsmouth","E06000044","Upper tier local authority","2020-03-15",3,9
"Milton Keynes","E06000042","Upper tier local authority","2020-03-15",1,6
"Bolton","E08000001","Upper tier local authority","2020-03-15",2,9
"Torbay","E06000027","Upper tier local authority","2020-03-15",1,7
"Ealing","E09000009","Upper tier local authority","2020-03-15",8,40
"Herefordshire, County of","E06000019","Upper tier local authority","2020-03-15",3,6
"Sheffield","E08000019","Upper tier local authority","2020-03-15",6,36
"Merton","E09000024","Upper tier local authority","2020-03-15",1,34
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-15",3,25
"Hertfordshire","E10000015","Upper tier local authority","2020-03-15",15,62
"Trafford","E08000009","Upper tier local authority","2020-03-15",2,15
"Medway","E06000035","Upper tier local authority","2020-03-15",2,13
"Cumbria","E10000006","Upper tier local authority","2020-03-15",1,32
"Northamptonshire","E10000021","Upper tier local authority","2020-03-15",1,20
"Staffordshire","E10000028","Upper tier local authority","2020-03-15",7,27
"Birmingham","E08000025","Upper tier local authority","2020-03-15",12,55
"Hillingdon","E09000017","Upper tier local authority","2020-03-15",5,23
"Bexley","E09000004","Upper tier local authority","2020-03-15",1,21
"Walsall","E08000030","Upper tier local authority","2020-03-15",4,22
"Enfield","E09000010","Upper tier local authority","2020-03-15",2,30
"Greenwich","E09000011","Upper tier local authority","2020-03-15",6,27
"Manchester","E08000003","Upper tier local authority","2020-03-15",3,18
"Hounslow","E09000018","Upper tier local authority","2020-03-15",5,27
"Waltham Forest","E09000031","Upper tier local authority","2020-03-15",4,15
"Reading","E06000038","Upper tier local authority","2020-03-15",2,8
"Cambridgeshire","E10000003","Upper tier local authority","2020-03-15",2,16
"Sefton","E08000014","Upper tier local authority","2020-03-15",1,6
"Wandsworth","E09000032","Upper tier local authority","2020-03-15",12,65
"Oxfordshire","E10000025","Upper tier local authority","2020-03-15",5,32
"Northumberland","E06000057","Upper tier local authority","2020-03-15",2,3
"Barnsley","E08000016","Upper tier local authority","2020-03-15",1,7
"Islington","E09000019","Upper tier local authority","2020-03-15",6,33
"Warrington","E06000007","Upper tier local authority","2020-03-15",1,4
"St. Helens","E08000013","Upper tier local authority","2020-03-15",1,3
"Sandwell","E08000028","Upper tier local authority","2020-03-15",4,15
"Lincolnshire","E10000019","Upper tier local authority","2020-03-15",2,14
"South Gloucestershire","E06000025","Upper tier local authority","2020-03-15",1,13
"Barnet","E09000003","Upper tier local authority","2020-03-15",10,54
"Warwickshire","E10000031","Upper tier local authority","2020-03-15",3,24
"Southwark","E09000028","Upper tier local authority","2020-03-15",12,75
"Derby","E06000015","Upper tier local authority","2020-03-15",4,11
"England","E92000001","Country","2020-03-15",397,2677
"West Berkshire","E06000037","Upper tier local authority","2020-03-15",1,5
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-15",1,56
"Barking and Dagenham","E09000002","Upper tier local authority","2020-03-15",5,15
"Camden","E09000007","Upper tier local authority","2020-03-15",3,33
"Redbridge","E09000026","Upper tier local authority","2020-03-15",5,13
"West Sussex","E10000032","Upper tier local authority","2020-03-15",1,18
"Gloucestershire","E10000013","Upper tier local authority","2020-03-15",3,15
"Lewisham","E09000023","Upper tier local authority","2020-03-15",6,29
"South East","E12000008","Region","2020-03-15",53,392
"East of England","E12000006","Region","2020-03-15",35,168
"Dorset","E06000059","Upper tier local authority","2020-03-15",1,8
"Kent","E10000016","Upper tier local authority","2020-03-15",5,39
"West Midlands","E12000005","Region","2020-03-15",44,263
"North East","E12000001","Region","2020-03-15",10,39
"Westminster","E09000033","Upper tier local authority","2020-03-15",5,75
"Leicestershire","E10000018","Upper tier local authority","2020-03-15",2,18
"Derbyshire","E10000007","Upper tier local authority","2020-03-15",10,45
"Nottingham","E06000018","Upper tier local authority","2020-03-15",2,17
"Yorkshire and The Humber","E12000003","Region","2020-03-15",10,111
"Central Bedfordshire","E06000056","Upper tier local authority","2020-03-15",5,11
"Wigan","E08000010","Upper tier local authority","2020-03-15",1,7
"Kingston upon Thames","E09000021","Upper tier local authority","2020-03-15",2,10
"Richmond upon Thames","E09000027","Upper tier local authority","2020-03-15",2,9
"Cheshire West and Chester","E06000050","Upper tier local authority","2020-03-15",2,8
"London","E12000007","Region","2020-03-15",165,1077
"Wolverhampton","E08000031","Upper tier local authority","2020-03-15",3,40
"Leeds","E08000035","Upper tier local authority","2020-03-15",2,14
"Windsor and Maidenhead","E06000040","Upper tier local authority","2020-03-15",1,15
"Kirklees","E08000034","Upper tier local authority","2020-03-15",1,4
"South West","E12000009","Region","2020-03-15",17,167
"Devon","E10000008","Upper tier local authority","2020-03-15",3,35
"Lancashire","E10000017","Upper tier local authority","2020-03-15",2,17
"Knowsley","E08000011","Upper tier local authority","2020-03-15",2,3
"Cheshire East","E06000049","Upper tier local authority","2020-03-15",1,11
"East Midlands","E12000004","Region","2020-03-15",26,164
"Rochdale","E08000005","Upper tier local authority","2020-03-15",1,5
"Essex","E10000012","Upper tier local authority","2020-03-15",6,39
"Nottinghamshire","E10000024","Upper tier local authority","2020-03-15",5,36
"South Tyneside","E08000023","Upper tier local authority","2020-03-15",1,1
"North West","E12000002","Region","2020-03-15",23,214
"Southampton","E06000045","Upper tier local authority","2020-03-15",1,6
"Wokingham","E06000041","Upper tier local authority","2020-03-15",2,12
"Lambeth","E09000022","Upper tier local authority","2020-03-15",13,67
"Waltham Forest","E09000031","Upper tier local authority","2020-03-16",2,17
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-03-16",3,14
"Brighton and Hove","E06000043","Upper tier local authority","2020-03-16",2,12
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-03-16",3,32
"Oxfordshire","E10000025","Upper tier local authority","2020-03-16",3,35
"Reading","E06000038","Upper tier local authority","2020-03-16",1,9
"Bath and North East Somerset","E06000022","Upper tier local authority","2020-03-16",1,5
"Hartlepool","E06000001","Upper tier local authority","2020-03-16",1,1
"Wandsworth","E09000032","Upper tier local authority","2020-03-16",13,78
"Dudley","E08000027","Upper tier local authority","2020-03-16",3,18
"Hackney","E09000012","Upper tier local authority","2020-03-16",6,36
"Liverpool","E08000012","Upper tier local authority","2020-03-16",3,16
"Sandwell","E08000028","Upper tier local authority","2020-03-16",5,20
"Suffolk","E10000029","Upper tier local authority","2020-03-16",1,17
"Northumberland","E06000057","Upper tier local authority","2020-03-16",1,4
"Sunderland","E08000024","Upper tier local authority","2020-03-16",2,5
"Telford and Wrekin","E06000020","Upper tier local authority","2020-03-16",1,8
"Halton","E06000006","Upper tier local authority","2020-03-16",1,5
"Havering","E09000016","Upper tier local authority","2020-03-16",2,15
"Stockport","E08000007","Upper tier local authority","2020-03-16",3,15
"Islington","E09000019","Upper tier local authority","2020-03-16",5,38
"Surrey","E10000030","Upper tier local authority","2020-03-16",13,73
"Croydon","E09000008","Upper tier local authority","2020-03-16",13,53
"Barnet","E09000003","Upper tier local authority","2020-03-16",11,65
"Thurrock","E06000034","Upper tier local authority","2020-03-16",2,5
"East Sussex","E10000011","Upper tier local authority","2020-03-16",1,7
"Warwickshire","E10000031","Upper tier local authority","2020-03-16",8,32
"Southwark","E09000028","Upper tier local authority","2020-03-16",16,91
"Portsmouth","E06000044","Upper tier local authority","2020-03-16",5,14
"Haringey","E09000014","Upper tier local authority","2020-03-16",2,34
"Derby","E06000015","Upper tier local authority","2020-03-16",6,17
"England","E92000001","Country","2020-03-16",546,3223
"Ealing","E09000009","Upper tier local authority","2020-03-16",14,54
"Bolton","E08000001","Upper tier local authority","2020-03-16",3,12
"West Berkshire","E06000037","Upper tier local authority","2020-03-16",1,6
"Coventry","E08000026","Upper tier local authority","2020-03-16",6,13
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-16",6,62
"Barking and Dagenham","E09000002","Upper tier local authority","2020-03-16",4,19
"Brent","E09000005","Upper tier local authority","2020-03-16",10,58
"Torbay","E06000027","Upper tier local authority","2020-03-16",1,8
"Camden","E09000007","Upper tier local authority","2020-03-16",3,36
"Oldham","E08000004","Upper tier local authority","2020-03-16",4,14
"Bromley","E09000006","Upper tier local authority","2020-03-16",6,40
"Redbridge","E09000026","Upper tier local authority","2020-03-16",6,19
"Sutton","E09000029","Upper tier local authority","2020-03-16",3,17
"West Sussex","E10000032","Upper tier local authority","2020-03-16",3,21
"Lewisham","E09000023","Upper tier local authority","2020-03-16",11,40
"Gloucestershire","E10000013","Upper tier local authority","2020-03-16",4,19
"Sheffield","E08000019","Upper tier local authority","2020-03-16",14,50
"Hampshire","E10000014","Upper tier local authority","2020-03-16",19,102
"Salford","E08000006","Upper tier local authority","2020-03-16",5,9
"South East","E12000008","Region","2020-03-16",78,470
"Merton","E09000024","Upper tier local authority","2020-03-16",6,40
"Plymouth","E06000026","Upper tier local authority","2020-03-16",1,7
"East of England","E12000006","Region","2020-03-16",23,191
"Blackpool","E06000009","Upper tier local authority","2020-03-16",1,4
"Norfolk","E10000020","Upper tier local authority","2020-03-16",6,17
"Kent","E10000016","Upper tier local authority","2020-03-16",8,47
"West Midlands","E12000005","Region","2020-03-16",56,319
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-16",3,28
"North East","E12000001","Region","2020-03-16",7,46
"Stockton-on-Tees","E06000004","Upper tier local authority","2020-03-16",1,6
"Calderdale","E08000033","Upper tier local authority","2020-03-16",2,5
"Westminster","E09000033","Upper tier local authority","2020-03-16",14,89
"Leicestershire","E10000018","Upper tier local authority","2020-03-16",2,20
"Hertfordshire","E10000015","Upper tier local authority","2020-03-16",6,68
"Solihull","E08000029","Upper tier local authority","2020-03-16",2,3
"Derbyshire","E10000007","Upper tier local authority","2020-03-16",17,62
"Trafford","E08000009","Upper tier local authority","2020-03-16",1,16
"Nottingham","E06000018","Upper tier local authority","2020-03-16",1,18
"Yorkshire and The Humber","E12000003","Region","2020-03-16",28,139
"Medway","E06000035","Upper tier local authority","2020-03-16",1,14
"Leicester","E06000016","Upper tier local authority","2020-03-16",2,5
"Worcestershire","E10000034","Upper tier local authority","2020-03-16",3,22
"North Lincolnshire","E06000013","Upper tier local authority","2020-03-16",1,2
"Wiltshire","E06000054","Upper tier local authority","2020-03-16",4,17
"Slough","E06000039","Upper tier local authority","2020-03-16",7,32
"Cheshire West and Chester","E06000050","Upper tier local authority","2020-03-16",2,10
"Kingston upon Thames","E09000021","Upper tier local authority","2020-03-16",5,15
"Northamptonshire","E10000021","Upper tier local authority","2020-03-16",1,21
"Richmond upon Thames","E09000027","Upper tier local authority","2020-03-16",4,13
"Rotherham","E08000018","Upper tier local authority","2020-03-16",1,6
"Cumbria","E10000006","Upper tier local authority","2020-03-16",12,44
"Southend-on-Sea","E06000033","Upper tier local authority","2020-03-16",2,6
"London","E12000007","Region","2020-03-16",234,1311
"Staffordshire","E10000028","Upper tier local authority","2020-03-16",8,35
"Wolverhampton","E08000031","Upper tier local authority","2020-03-16",4,44
"Harrow","E09000015","Upper tier local authority","2020-03-16",12,51
"Leeds","E08000035","Upper tier local authority","2020-03-16",1,15
"Birmingham","E08000025","Upper tier local authority","2020-03-16",15,70
"North Tyneside","E08000022","Upper tier local authority","2020-03-16",1,7
"Windsor and Maidenhead","E06000040","Upper tier local authority","2020-03-16",2,17
"Doncaster","E08000017","Upper tier local authority","2020-03-16",2,4
"North Yorkshire","E10000023","Upper tier local authority","2020-03-16",3,14
"Kirklees","E08000034","Upper tier local authority","2020-03-16",2,6
"South West","E12000009","Region","2020-03-16",18,185
"Hillingdon","E09000017","Upper tier local authority","2020-03-16",9,32
"Lancashire","E10000017","Upper tier local authority","2020-03-16",7,24
"Wirral","E08000015","Upper tier local authority","2020-03-16",2,10
"Southampton","E06000045","Upper tier local authority","2020-03-16",2,8
"Manchester","E08000003","Upper tier local authority","2020-03-16",6,24
"Devon","E10000008","Upper tier local authority","2020-03-16",4,39
"Bexley","E09000004","Upper tier local authority","2020-03-16",4,25
"East Riding of Yorkshire","E06000011","Upper tier local authority","2020-03-16",2,12
"East Midlands","E12000004","Region","2020-03-16",34,198
"Essex","E10000012","Upper tier local authority","2020-03-16",5,44
"Walsall","E08000030","Upper tier local authority","2020-03-16",1,23
"Tameside","E08000008","Upper tier local authority","2020-03-16",2,16
"Enfield","E09000010","Upper tier local authority","2020-03-16",2,32
"Greenwich","E09000011","Upper tier local authority","2020-03-16",5,32
"Nottinghamshire","E10000024","Upper tier local authority","2020-03-16",5,41
"Newham","E09000025","Upper tier local authority","2020-03-16",9,30
"South Tyneside","E08000023","Upper tier local authority","2020-03-16",1,2
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-16",9,48
"Bracknell Forest","E06000036","Upper tier local authority","2020-03-16",1,5
"North West","E12000002","Region","2020-03-16",56,270
"Hounslow","E09000018","Upper tier local authority","2020-03-16",9,36
"Rochdale","E08000005","Upper tier local authority","2020-03-16",3,8
"Lambeth","E09000022","Upper tier local authority","2020-03-16",16,83
"Bury","E08000002","Upper tier local authority","2020-03-16",1,8
"Cambridgeshire","E10000003","Upper tier local authority","2020-03-16",1,17
"Sandwell","E08000028","Upper tier local authority","2020-03-17",2,22
"Cambridgeshire","E10000003","Upper tier local authority","2020-03-17",1,18
"Slough","E06000039","Upper tier local authority","2020-03-17",5,37
"Newham","E09000025","Upper tier local authority","2020-03-17",5,35
"Sefton","E08000014","Upper tier local authority","2020-03-17",1,7
"Barking and Dagenham","E09000002","Upper tier local authority","2020-03-17",5,24
"Waltham Forest","E09000031","Upper tier local authority","2020-03-17",5,22
"Milton Keynes","E06000042","Upper tier local authority","2020-03-17",3,9
"East Riding of Yorkshire","E06000011","Upper tier local authority","2020-03-17",1,13
"Swindon","E06000030","Upper tier local authority","2020-03-17",1,6
"Essex","E10000012","Upper tier local authority","2020-03-17",10,54
"Hillingdon","E09000017","Upper tier local authority","2020-03-17",16,48
"Derby","E06000015","Upper tier local authority","2020-03-17",3,20
"Northumberland","E06000057","Upper tier local authority","2020-03-17",2,6
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-17",6,54
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-17",7,69
"Bradford","E08000032","Upper tier local authority","2020-03-17",3,10
"Croydon","E09000008","Upper tier local authority","2020-03-17",21,74
"Thurrock","E06000034","Upper tier local authority","2020-03-17",3,8
"Halton","E06000006","Upper tier local authority","2020-03-17",2,7
"Harrow","E09000015","Upper tier local authority","2020-03-17",14,65
"Leicestershire","E10000018","Upper tier local authority","2020-03-17",4,24
"South Gloucestershire","E06000025","Upper tier local authority","2020-03-17",1,14
